STAT_CODE,STAT_NAME,CYCLE,FULL_PATH
511Y002,"소비자동향조사(전국, 월, 2008.9~)",M,"심리지수 > 소비자동향조사 > 소비자동향조사(전국, 월, 2008.9~)"
511Y001,"소비자동향조사(전국, 분기, 1995.3/4~2008.2/4)",Q,"심리지수 > 소비자동향조사 > 소비자동향조사(전국, 분기, 1995.3/4~2008.2/4)"
511Y003,"기대인플레이션율(전국, 월)",M,"심리지수 > 소비자동향조사 > 기대인플레이션율(전국, 월)"
511Y004,"소비자동향조사(지역, 월)",M,"심리지수 > 소비자동향조사 > 소비자동향조사(지역, 월)"
513Y001,경제심리지수,M,심리지수 > 경제심리지수
521Y001,뉴스심리지수(실험적 통계),D,심리지수 > 뉴스심리지수(실험적 통계)
514Y001,대출행태서베이(대출태도),Q,심리지수 > 대출행태서베이 > 대출행태서베이(대출태도)
514Y002,대출행태서베이(신용위험),Q,심리지수 > 대출행태서베이 > 대출행태서베이(신용위험)
514Y003,대출행태서베이(대출수요),Q,심리지수 > 대출행태서베이 > 대출행태서베이(대출수요)
801Y002,어음교환 및 부도,M,지급결제 > 어음교환 및 부도 > 어음교환 및 부도
801Y003,지역별 어음부도율,M,지급결제 > 어음교환 및 부도 > 지역별 어음부도율
606Y002,한은금융망,M,지급결제 > 한은금융망 통계 > 한은금융망
603Y001,한은금융망결제통계표,M,지급결제 > 한은금융망 통계 > 회계결제시스템 통계 > 한은금융망결제통계표
603Y010,지급결제동향,M,지급결제 > 한은금융망 통계 > 회계결제시스템 통계 > 지급결제동향
604Y003,지로시스템,M,지급결제 > 지로시스템 및 금융공동망 > 지로시스템
605Y012,금융공동망,M,지급결제 > 지로시스템 및 금융공동망 > 금융공동망
602Y001,결제시스템별 통계,M,지급결제 > BIS기준통계 > 결제시스템별 통계
602Y002,지급수단별 통계,M,지급결제 > BIS기준통계 > 지급수단별 통계
601Y003,신용카드,M,지급결제 > 신용카드 > 신용카드
601Y002,지역별 소비유형별 개인 신용카드,M,지급결제 > 신용카드 > 지역별 소비유형별 개인 신용카드
631Y001,인터넷뱅킹,Q,지급결제 > 전자금융통계/금융정보화통계 > 전자금융통계 > 인터넷뱅킹
632Y001,전자어음,Q,지급결제 > 전자금융통계/금융정보화통계 > 전자금융통계 > 전자어음
633Y001,전자화폐,Q,지급결제 > 전자금융통계/금융정보화통계 > 전자금융통계 > 전자화폐
633Y002,전자지급결제대행,Q,지급결제 > 전자금융통계/금융정보화통계 > 전자금융통계 > 전자지급서비스 > 전자지급결제대행
633Y003,결제대금예치,Q,지급결제 > 전자금융통계/금융정보화통계 > 전자금융통계 > 전자지급서비스 > 결제대금예치
